word;level
Abendkasse;A2.1
abfahren;A2.1
Abfahrt;A2.1
abgeben;A2.1
abheben;A2.2
abholen;A2.1
Abitur (Abi);A2.1
ablegen;A2.1
ablehnen;A2.1
ablesen;A2.1
Ablesung;A2.1
abmelden;A2.1
Abmeldung;A2.1
abschalten;A2.2
abschließen;A2.1
Abschluss;A2.1
absetzen;A2.2
abstellen;A2.1
Abteilung;A2.2
Accessoires;A2.2
afrikanisch;A2.1
aggressiv;A2.2
ähnlich;A2.1
Aktivität;A2.2
aktuell;A2.1
Akupunktur;A2.2
alle;A2.1
Alternative;A2.2
Altglas;A2.1
Amt;A2.1
Amtsdeutsch;A2.1
anbieten;A2.1
ändern;A2.1
anders;A2.2
anerkannt;A2.2
Anfänger/in;A2.1
anfordern;A2.2
angeben;A2.2
Angehörige;A2.1
Angst;A2.2
anhaben;A2.2
anklicken;A2.1
ankommen;A2.1
ankreuzen;A2.1
Ankunft;A2.1
Anruf;A2.2
Anrufer/in;A2.2
Anschluss;A2.1
Anschlusszug;A2.1
Anschrift;A2.1
Ansprechpartner/in;A2.1
Antrag;A2.1
Antragsteller/in;A2.1
Anweisung;A2.2
Apfelschorle;A2.2
App;A2.1
Appetit;A2.2
Arbeitgeber/in;A2.2
Arbeitsagentur;A2.1
Arbeitsauftrag;A2.2
Arbeitsbeginn;A2.2
Arbeitserlaubnis;A2.1
Arbeitslosengeld;A2.1
Arbeitsplatz;A2.1
Arbeitsschutz;A2.2
Arbeitsvermittlung;A2.1
Arbeitsvertrag;A2.2
Architektur;A2.1
ärgern;A2.2
Armut;A2.2
asiatisch;A2.2
Aubergine;A2.2
Aufenthalt;A2.1
Aufenthaltserlaubnis;A2.1
aufheben;A2.2
aufhören;A2.2
Auflistung;A2.2
aufpassen;A2.2
aufrufen;A2.1
aufschließen;A2.1
Aufzug;A2.2
Ausbildungsplatz;A2.1
ausblenden;A2.1
ausdrucken;A2.2
ausfallen;A2.1
Ausflug;A2.2
ausführen;A2.1
ausgeben;A2.1
ausgezeichnet;A2.2
Ausgleich;A2.2
Aushilfsjob;A2.1
Ausland;A2.1
Ausländeramt;A2.1
Ausländerbehörde;A2.1
ausmachen;A2.2
ausreichend;A2.2
Ausrüstung;A2.2
aussehen;A2.1
Außendienst;A2.2
außer;A2.2
Aussicht;A2.2
aussteigen;A2.1
aussuchen;A2.1
Ausweis;A2.1
ausziehen;A2.1
Auszubildende (Azubi);A2.1
Autofahren;A2.1
Automat;A2.1
Autounfall;A2.1
Babyartikel;A2.2
Babysitter/in;A2.2
Bäckereifachverkäufer/in;A2.1
Badesachen;A2.2
Bahnfahren;A2.1
Bahnsteig;A2.1
Band;A2.2
Bankkarte;A2.2
Bankkaufmann/Bankkauffrau;A2.2
Bankleitzahl;A2.2
Bankschalter;A2.2
bar;A2.2
Bargeld;A2.2
bargeldlos;A2.2
Bart;A2.2
Basis;A2.2
Basketball;A2.2
basteln;A2.2
beachten;A2.1
beantragen;A2.1
bearbeiten;A2.1
Beauftragte;A2.2
bedanken;A2.1
bedeuten;A2.1
bedienen;A2.1
beeilen;A2.1
beenden;A2.1
befriedigend;A2.2
begleichen;A2.2
begründen;A2.1
Begrüßung;A2.2
Behandlung;A2.2
Behörde;A2.1
Beinbruch;A2.1
Bekleidung;A2.2
belegen;A2.2
Benutzername;A2.1
beraten;A2.2
Beratung;A2.1
Beratungsgespräch;A2.1
berechnen;A2.2
Bereich;A2.1
bereit;A2.2
bereitstellen;A2.2
Bericht;A2.2
Berufsausbildung;A2.1
Berufsberatung;A2.1
Berufsfeld;A2.1
Berufsinformationszentrum;A2.1
Berufskolleg;A2.2
Berufsschule;A2.1
berufstätig;A2.1
Berufswunsch;A2.2
Bescheinigung;A2.2
Beschwerde;A2.1
besichtigen;A2.1
besonders;A2.1
besprechen;A2.2
Besprechung;A2.2
Besteck;A2.2
bestellen;A2.1
Bestellnummer;A2.2
Bestellung;A2.2
bestimmt;A2.2
betätigen;A2.2
betreffen;A2.2
bewahren;A2.2
bewegen;A2.2
Bewerber/in;A2.1
Bezirk;A2.1
BIC;A2.2
bieten;A2.1
Bildschirm;A2.2
Bildungsweg;A2.1
Biologie;A2.2
Biomüll;A2.1
Biotonne;A2.1
bitten;A2.1
Blick;A2.2
blond;A2.2
Boden;A2.2
Brand;A2.2
Brandbekämpfung;A2.2
Brandfall;A2.2
Brandmelder;A2.2
Brandschutz;A2.2
braten;A2.2
brennen;A2.2
Brett;A2.1
Briefkasten;A2.1
Broschüre;A2.2
buchen;A2.1
Buchhaltung;A2.2
bummeln;A2.2
Bundesland;A2.2
bunt;A2.2
Büroorganisation;A2.1
Camping;A2.2
Champignon;A2.2
Chaos;A2.1
chatten;A2.1
Chemie;A2.2
Chor;A2.2
Cousin/e;A2.1
Currywurst;A2.2
dabei;A2.1
dagegen;A2.2
daheim;A2.2
damals;A2.2
Dame;A2.2
damit;A2.2
danken;A2.2
darin;A2.2
darum;A2.1
dass;A2.1
Datei;A2.1
Dauer;A2.1
Daumen;A2.2
Decke;A2.1
defekt;A2.1
deshalb;A2.1
deutlich;A2.2
dich;A2.1
dick;A2.2
Dieb/in;A2.2
dieselbe;A2.2
Ding;A2.2
Diplom;A2.2
diskutieren;A2.1
Dokument;A2.1
divers;A2.1
drehen;A2.1
drüben;A2.1
drucken;A2.1
drücken;A2.2
Duft;A2.2
dünn;A2.2
Duschgel;A2.2
echt;A2.2
Ecke;A2.1
egal;A2.2
Ehepaar;A2.2
Ehepartner/in;A2.1
Eheschließung;A2.1
eigen;A2.2
Einbauküche;A2.1
eindecken;A2.1
Einfahrt;A2.1
einfarbig;A2.2
Eingabe;A2.2
eingeben;A2.2
Einlass;A2.2
einrichten;A2.1
einsteigen;A2.1
Eintritt;A2.1
Einweihungsparty;A2.1
Einweisung;A2.2
Einwohnermeldeamt;A2.1
Einwurfzeit;A2.1
einzahlen;A2.2
einziehen;A2.1
Einzug;A2.1
Eiswürfel;A2.2
Elektrik;A2.2
Elektronik;A2.2
Elternabend;A2.2
Elternsprechtag;A2.2
empfehlen;A2.1
Empfehlung;A2.1
empfindlich;A2.2
Ende;A2.1
Energie;A2.1
engagieren;A2.2
Englischlehrer/in;A2.2
Enkel/in;A2.1
Enkelkind;A2.1
enthalten;A2.1
entlang;A2.2
entscheiden;A2.1
entschuldigen;A2.1
entsorgen;A2.1
entspannen;A2.2
Entspannung;A2.2
Entwurf;A2.2
Erdkunde;A2.2
erfahren;A2.2
erfolgen;A2.1
erforderlich;A2.1
erhalten;A2.1
erlauben;A2.2
erledigen;A2.2
eröffnen;A2.2
erreichen;A2.1
erstatten;A2.2
erwarten;A2.2
erwischen;A2.2
etwa;A2.2
Event;A2.2
Fach;A2.2
Fachhochschule;A2.2
Fachhochschulreife;A2.2
Fahrkartenschalter;A2.1
Fahrplan;A2.1
Fahrradhelm;A2.2
Fahrradständer;A2.1
Familienbuch;A2.1
Familienkasse;A2.1
Familienmitglied;A2.1
fantastisch;A2.2
Fast Food;A2.2
fehlen;A2.1
Fernbus;A2.1
Fernwärme;A2.1
Feuerlöscher;A2.2
Feuerzeug;A2.2
