word;level
gegenüber;A1.2
gehen;A1.1
gelb;A1.2
Geld;A1.1
gemeinsam;A1.1
Gemüse;A1.1
gemütlich;A1.1
genau;A1.1
genauso;A1.2
geöffnet;A1.1
gepflegt;A1.1
gerade;A1.2
geradeaus;A1.2
Gerät;A1.1
gern;A1.1
Geschäft;A1.1
Geschenk;A1.2
geschieden;A1.1
Geschwister;A1.1
Gesicht;A1.2
Gespräch;A1.1
gestern;A1.1
Gesundheit;A1.2
Gesundheitskarte;A1.2
Getränk;A1.1
Gitarre;A1.2
Glas;A1.1
glauben;A1.2
gleich;A1.1
Gleis;A1.2
glücklich;A1.2
Glückstag;A1.2
Grad;A1.2
Gramm;A1.1
Grammatik;A1.1
grau;A1.2
grillen;A1.1
Grippe;A1.2
groß;A1.1
Größe;A1.1
grün;A1.1
Gruppe;A1.2
Gruß;A1.1
gucken;A1.2
gültig;A1.2
günstig;A1.2
gut;A1.1
Haar;A1.2
haben;A1.1
hageln;A1.2
halb;A1.1
halbtags;A1.2
hallo;A1.1
Hals;A1.2
Hals-Nasen-Ohren-Arzt (HNO);A1.2
Halsweh;A1.2
halten;A1.2
Haltestelle;A1.2
Hand;A1.2
Handschuh;A1.2
Handynummer;A1.1
hängen;A1.1
Hase;A1.2
hässlich;A1.1
Hauptbahnhof;A1.2
Hauptsache;A1.1
Haus;A1.1
Hausarzt;A1.2
Hausaufgabe;A1.1
Hausflur;A1.2
Hausmann/Hausfrau;A1.2
Hausnummer;A1.1
Haustier;A1.1
Heft;A1.1
Heimatland;A1.1
heiraten;A1.2
heiß;A1.2
heißen;A1.1
Heizung;A1.1
helfen;A1.1
hell;A1.1
Hemd;A1.2
Herbst;A1.2
Herd;A1.1
Herr;A1.1
heute;A1.1
hier;A1.1
Hilfe;A1.1
Himbeere;A1.1
Himmelsrichtung;A1.2
hinten;A1.1
hinter;A1.2
Hobby;A1.2
Hochhaus;A1.1
Hochzeit;A1.2
Hochzeitsfeier;A1.2
Honig;A1.1
hören;A1.1
Hose;A1.2
Hotel;A1.2
Hund;A1.2
Hunger;A1.1
Husten;A1.2
Hustensaft;A1.2
ich;A1.1
Idee;A1.1
ihm;A1.2
Ihnen;A1.1
ihr;A1.1
Ihr/Ihre;A1.1
ihr/ihre;A1.1
immer;A1.1
Immobilie;A1.1
in;A1.1
Information;A1.1
Informationsschalter;A1.2
Ingenieur;A1.2
Insel;A1.2
Inselrundfahrt;A1.2
insgesamt;A1.1
installieren;A1.2
Intercity;A1.2
interessant;A1.1
Interview;A1.1
ja;A1.1
Jacke;A1.2
Jahr;A1.1
Jahreszahl;A1.2
Jahreszeit;A1.2
Januar;A1.2
Jeans;A1.2
jeder/jede/jedes;A1.1
jetzt;A1.1
Jobcenter;A1.2
Jogginganzug;A1.2
Joghurt;A1.1
Juli;A1.2
